System,ROM Name,Description,ISVERTICAL,FW Reborn,LEGENDS,FW Atarashii,INSERT COIN,FOCUS,FW Atarashii Gems,FW Atarashii Mini,FW Atarashii Micro,Vertical,Year,numberPlayers,ctrlType,Buttons,Simple Manufacturer,Joystick Input,Other Input,Manufacturers,,,1080 Avalanche,1775
arcade,720,720 Degrees,x,x,x,x,x,,,,,HORIZONTAL,1986,1,analog,2,Atari,,stick / dial,Atari Games,,,"1080 Snowboarding (Europe) (En,Ja,Fr,De)",1776
arcade,1941,1941: Counter Attack,x,x,x,x,x,x,x,x,x,VERTICAL,1990,2,8 way,2,Capcom,joy8way,,Capcom,,,Cuphead,1777
arcade,1942,1942,x,x,x,x,x,,x,x,,VERTICAL,1984,2,8 way,2,Capcom,joy8way,,Capcom,,,daytona,1778
arcade,1943,1943 1: The Battle of Midway,x,x,x,x,x,x,MINI,x,x,VERTICAL,1987,2,8 way,2,Capcom,joy8way,,Capcom,,,Donkey Kong - Tropical Freeze,1779
arcade,1944,1944: The Loop Master,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,2000,2,8 way,2,Capcom,joy8way,,Eighting / Raizing,,,Ghosts n Goblins Resurrection,1780
arcade,1943kai,1943 Kai: Midway Kaisen,x,x,x,x,x,,,,,VERTICAL,1987,2,8 way,2,Capcom,joy8way,,Capcom,,,gnw_fireatk,1781
arcade,19xx,19XX: The War Against Destiny,x,x,x,x,x,x,MINI,x,x,VERTICAL,1996,2,8 way,2,Capcom,joy8way,,Capcom,,,gnw_mariocm,1782
arcade,2020bb,2020 Super Baseball,,x,x,x,,,,,,HORIZONTAL NEOGEO,1991,2,8 way,4,Neo Geo,joy8way,,SNK / Pallas,,,gnw_zelda,1783
arcade,3wonders,003 Wonders,x,x,x,x,x,,,,,HORIZONTAL,1991,2,8 way,3,Capcom,joy8way,,Capcom,,,GoldenEye (USA),1784
arcade,aburner2,After Burner 2,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1987,1,analog,2,SEGA,,stick,SEGA,,,Legend of Zelda BOTW,1785
arcade,actfancr,Act-Fancer Cybernetick Hyper Weapon,x,x,x,x,x,,,,,HORIZONTAL,1989,2,8 way,2,Data East,joy8way,,Data East,,,Legend of Zelda The Ocarina of Time,1786
arcade,aerofgt,Aero Fighters 1,x,x,x,x,,,,,,VERTICAL,1992,2,8 way,2,Other,joy8way,,Video System Co. / Video System,,,Legend of Zelda TOTK,1787
arcade,airass,Air Assault,x,x,x,x,,,,,,VERTICAL,1993,2,8 way,3,Irem,joy8way,,Irem,,,Manic Miner,1788
arcade,airwolf,Airwolf,,x,x,x,,,,,,HORIZONTAL,1987,2,8 way,2,Other,joy8way,,Kyugo,,,Mario Golf,1789
arcade,ajax,Ajax,x,x,x,x,,,,,,VERTICAL,1987,2,8 way,3,Konami,joy8way,,Konami,,,Mario Kart 8 Deluxe,1790
arcade,akatana,Akai Katana,x,x,x,x,x,,,,,HORIZONTAL,2008,2,8 way,3,Cave,joy8way,,Cave / Rising Star Games,,,Mario Power Tennis,1791
arcade,aliens,Aliens,x,x,x,x,x,x,x,x,,HORIZONTAL,1990,2,8 way,2,Konami,joy8way,,Konami,,,Mario Superstar Baseball,1792
arcade,aliensyn,Alien Syndrome,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1987,2,8 way,3,SEGA,joy8way,,SEGA,,,Metroid Dread,1793
arcade,alpham2,Alpha Mission 2,,x,x,x,,,,,,HORIZONTAL NEOGEO,1991,2,8 way,4,Neo Geo,joy8way,,SNK,,,Metroid Prime,1794
arcade,alpine,Alpine Ski,x,x,x,x,,,,,,VERTICAL,1982,2,4 way,1,Taito,joy2way,,Taito / Pacific Kougyou,,,Metroid Prime 2,1795
